City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Samarai,PG,80.67,broken clouds,-10.6167,150.6667,Nuli Sapi
6,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Hithadhoo,MV,81.82,broken clouds,-0.6,73.0833,Scoop Guest House
19,Sahbuz,AZ,80.2,clear sky,39.4072,45.5739,
20,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
24,Namtsy,RU,82.51,scattered clouds,62.7161,129.6658,"""Эңсиэли Киин"""
30,Luganville,VU,81.36,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
34,Kavaratti,IN,82.38,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
40,Eyl,SO,80.4,overcast clouds,7.9803,49.8164,Amiin Hotel
43,Butaritari,KI,83.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
74,Novikovo,RU,78.67,clear sky,51.1537,37.8879,
84,Belyy Yar,RU,78.69,clear sky,53.6039,91.3903,Pasportnyy Stol
89,Kavieng,PG,83.28,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
98,Kandrian,PG,81.48,light rain,-6.2167,149.55,Kandrian Station
102,The Valley,AI,82.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
108,Xicotencatl,MX,79.72,scattered clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
109,Haimen,CN,78.28,light rain,23.1935,116.6142,Jinghao Business Hotel
110,Baruun-Urt,MN,80.29,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
130,Sol-Iletsk,RU,85.05,few clouds,51.1631,54.9918,Raduzhnaya
137,Mae Sai,TH,78.44,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
155,Umm Kaddadah,SD,79.7,overcast clouds,13.6017,26.6876,
160,Patnanungan,PH,85.64,overcast clouds,14.7833,122.1833,Villa Caesar
170,Guantanamo,CU,81.46,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
176,Bac Lieu,VN,85.98,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
179,Bacolod,PH,85.62,light rain,10.6667,122.95,Planta Hotel & Residences
191,Saint George,US,85.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
208,Biltine,TD,80.49,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
212,Yuanping,CN,81.36,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
221,Naze,JP,79.34,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
226,Kieta,PG,81.84,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
228,Bengkulu,ID,83.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
230,Najran,SA,79.36,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
234,Karratha,AU,82.4,few clouds,-20.7377,116.8463,ibis Styles Karratha
235,Mahina,PF,80.37,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
245,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
