City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,70.09,67,100,26.28,overcast clouds
1,Saint-Augustin,CA,51.226,-58.6502,62.31,66,21,2.35,few clouds
2,Samarai,PG,-10.6167,150.6667,80.67,72,77,14.34,broken clouds
3,Hilo,US,19.7297,-155.09,73.26,94,94,5.75,light rain
4,Jamestown,US,42.097,-79.2353,65.01,94,1,1.99,clear sky
5,Shangzhi,CN,45.2167,127.9667,88.41,56,32,7.25,scattered clouds
6,Kapaa,US,22.0752,-159.319,80.92,78,90,5.01,light rain
7,Hithadhoo,MV,-0.6,73.0833,81.82,68,57,0.81,broken clouds
8,Riyadh,SA,24.6877,46.7219,95.14,51,23,1.5,few clouds
9,Port Macquarie,AU,-31.4333,152.9167,65.89,52,29,9.1,scattered clouds
10,Codrington,AU,-38.2667,141.9667,55.99,73,37,14.29,scattered clouds
11,Qaanaaq,GL,77.484,-69.3632,29.23,81,23,3.85,few clouds
12,Ribeira Grande,PT,38.5167,-28.7,69.17,82,61,16.37,broken clouds
13,Bayir,TR,37.2687,28.2167,70.63,44,0,2.77,clear sky
14,Albany,US,42.6001,-73.9662,67.26,96,100,4.54,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,36.32,91,49,6.89,scattered clouds
16,Sakti,IN,22.0333,82.9667,93.61,48,100,8.39,overcast clouds
17,Vaini,TO,-21.2,-175.2,77.16,94,20,4.61,few clouds
18,Mago,RU,53.2514,140.1822,86.94,32,0,5.39,clear sky
19,Sahbuz,AZ,39.4072,45.5739,80.2,35,6,3.62,clear sky
20,San Patricio,US,28.017,-97.5169,84.09,81,1,7.83,clear sky
21,Hermanus,ZA,-34.4187,19.2345,54.9,84,71,10.13,broken clouds
22,Port Lincoln,AU,-34.7333,135.8667,59.11,70,50,22.03,scattered clouds
23,Faanui,PF,-16.4833,-151.75,76.77,79,99,17.0,moderate rain
24,Namtsy,RU,62.7161,129.6658,82.51,32,29,7.7,scattered clouds
25,Hami,CN,42.8,93.45,87.58,22,94,10.69,overcast clouds
26,Nanortalik,GL,60.1432,-45.2371,45.37,99,100,5.03,light rain
27,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,88,39,7.7,scattered clouds
