City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2021-07-19 03:11:59,14.8961,-24.4956,74.75,86,55,7.09
1,Bluff,NZ,2021-07-19 03:15:28,-46.6,168.3333,45.81,75,54,8.08
2,Albany,US,2021-07-19 03:14:09,42.6001,-73.9662,67.95,95,100,5.19
3,Saskylakh,RU,2021-07-19 03:15:47,71.9167,114.0833,54.07,91,100,12.73
4,Hecun,CN,2021-07-19 03:16:37,36.5333,114.1111,75.4,90,100,4.85
5,Marrakesh,MA,2021-07-19 03:12:02,31.6315,-8.0083,78.87,36,0,4.61
6,Norman Wells,CA,2021-07-19 03:15:46,65.282,-126.8329,77.04,50,40,18.41
7,Khatanga,RU,2021-07-19 03:15:38,71.9667,102.5,63.09,58,98,11.41
8,Vaini,TO,2021-07-19 03:15:25,-21.2,-175.2,80.76,83,40,8.05
9,Busselton,AU,2021-07-19 03:11:03,-33.65,115.3333,56.05,78,100,8.48
10,Namibe,AO,2021-07-19 03:15:45,-15.1961,12.1522,66.61,86,1,5.23
11,Ust-Maya,RU,2021-07-19 03:22:00,60.4167,134.5333,81.95,37,25,2.08
12,Lasa,IT,2021-07-19 03:22:00,46.6166,10.7002,63.48,88,24,6.24
13,Maralal,KE,2021-07-19 03:22:00,1.0968,36.698,56.46,85,100,2.21
14,Filingue,NE,2021-07-19 03:22:01,14.3521,3.3168,77.38,60,100,4.32
15,Clyde River,CA,2021-07-19 03:15:59,70.4692,-68.5914,37.63,87,90,10.36
16,Puerto Ayora,EC,2021-07-19 03:15:31,-0.7393,-90.3518,71.55,95,77,5.01
17,Kruisfontein,ZA,2021-07-19 03:16:51,-34.0033,24.7314,60.89,24,1,9.73
18,Avarua,CK,2021-07-19 03:15:24,-21.2078,-159.775,78.85,78,40,14.97
19,Tigil,RU,2021-07-19 03:22:02,57.8,158.6667,53.96,97,100,5.37
20,Bilma,NE,2021-07-19 03:14:03,18.6853,12.9164,87.57,33,91,7.83
21,Longyearbyen,SJ,2021-07-19 03:16:05,78.2186,15.6401,37.24,87,90,8.05
22,Galle,LK,2021-07-19 03:22:02,6.0367,80.217,81.55,79,82,14.14
23,Mataura,NZ,2021-07-19 03:15:50,-46.1927,168.8643,45.48,89,95,2.01
24,Dikson,RU,2021-07-19 03:15:32,73.5069,80.5464,36.18,90,65,7.92
25,Lucapa,AO,2021-07-19 03:22:02,-8.4192,20.7447,59.5,41,69,4.63
26,Chokurdakh,RU,2021-07-19 03:21:01,70.6333,147.9167,59.38,38,87,5.32
27,Jamestown,US,2021-07-19 03:14:25,42.097,-79.2353,67.64,89,1,3.0
28,Saint-Philippe,RE,2021-07-19 03:15:50,-21.3585,55.7679,67.55,76,39,10.71
29,Ribeira Grande,PT,2021-07-19 03:15:35,38.5167,-28.7,69.1,78,35,13.33
30,Luancheng,CN,2021-07-19 03:22:03,37.8792,114.6517,82.56,92,100,6.64
31,Rikitea,PF,2021-07-19 03:12:49,-23.1203,-134.9692,70.27,66,99,26.22
32,Punta Arenas,CL,2021-07-19 03:15:25,-53.15,-70.9167,41.11,75,0,14.97
33,Kapaa,US,2021-07-19 03:15:48,22.0752,-159.319,82.38,78,90,5.01
34,Yulara,AU,2021-07-19 03:17:50,-25.2406,130.9889,69.64,32,8,6.91
35,West Bay,KY,2021-07-19 03:13:38,19.3667,-81.4167,84.0,85,20,1.99
36,Ullapool,GB,2021-07-19 03:22:04,57.8987,-5.1604,48.94,93,5,1.5
37,Zhigansk,RU,2021-07-19 03:17:28,66.7697,123.3711,66.43,62,100,13.89
38,Toledo,ES,2021-07-19 03:22:05,39.8333,-4.0,74.52,38,0,3.87
39,Vredendal,ZA,2021-07-19 03:22:05,-31.6683,18.5012,57.25,37,11,8.34
40,Torres,BR,2021-07-19 03:22:05,-29.3353,-49.7269,47.82,57,3,17.31
41,Ust-Kut,RU,2021-07-19 03:22:05,56.7938,105.7672,77.47,38,13,1.21
42,Loubomo,CG,2021-07-19 03:21:24,-4.1997,12.6739,64.27,96,17,2.84
43,Torbay,CA,2021-07-19 03:16:34,47.6666,-52.7314,62.49,82,40,8.05
44,Melenki,RU,2021-07-19 03:22:06,55.3343,41.6295,70.7,57,85,4.5
45,Santa Maria,BR,2021-07-19 03:22:06,-29.6842,-53.8069,47.5,61,75,16.11
46,Faanui,PF,2021-07-19 03:15:57,-16.4833,-151.75,76.33,79,100,17.31
47,Manzhouli,CN,2021-07-19 03:22:07,49.6,117.4333,66.04,86,100,3.31
48,Fortuna,US,2021-07-19 03:12:03,40.5982,-124.1573,59.94,84,1,1.99
49,Ushuaia,AR,2021-07-19 03:15:21,-54.8,-68.3,44.26,65,40,25.32
50,Jalu,LY,2021-07-19 03:12:48,29.0331,21.5482,73.45,69,5,8.3
51,Eyl,SO,2021-07-19 03:21:05,7.9803,49.8164,79.3,65,82,23.55
52,Vuktyl,RU,2021-07-19 03:19:42,63.8567,57.3094,62.17,58,100,5.08
53,Haines Junction,CA,2021-07-19 03:16:54,60.7522,-137.5108,73.35,33,97,9.22
54,Butaritari,KI,2021-07-19 03:15:22,3.0707,172.7902,83.55,72,100,7.52
55,Carnarvon,AU,2021-07-19 03:11:07,-24.8667,113.6333,66.27,39,90,10.36
56,Calella,ES,2021-07-19 03:22:08,41.618,2.6678,79.95,69,0,5.35
57,Kakrala,IN,2021-07-19 03:22:08,27.9,79.2,83.71,75,99,5.97
58,Peniche,PT,2021-07-19 03:22:08,39.3558,-9.3811,64.89,84,100,17.47
59,Barrow,US,2021-07-19 03:12:02,71.2906,-156.7887,46.42,81,75,12.66
60,Hobart,AU,2021-07-19 03:10:52,-42.8794,147.3294,57.02,64,75,3.0
61,Hamilton,US,2021-07-19 03:09:06,39.1834,-84.5333,73.22,84,1,0.0
62,Atuona,PF,2021-07-19 03:15:39,-9.8,-139.0333,77.95,76,3,25.08
